dataset,worksheet,column,col_index,data_type,examples,description,units,role,missing_pct,unique_count,notes,confidence
APACHE 4.xlsx,Sheet1,    BSL(mg/dl) ,19,float64,296.0 | 138.0 | 120.0 | 74.0,Blood sugar level (glucose),mg/dL,feature (APS input),0.0,62,,High
APACHE 4.xlsx,Sheet1,   Albumin(g/L) ,20,float64,4.0 | 2.8 | 2.5 | 4.1,Serum albumin,g/dL despite the g/L label,feature (APS input),0.0,29,LABEL WRONG: 1.7-5.1 is a g/dL range.,High
APACHE 4.xlsx,Sheet1,Bilirubin (mg/dl) ,21,float64,1.2 | 1.3 | 1.5 | 0.8,Serum total bilirubin,mg/dL,feature (APS input),0.0,29,,High
APACHE 4.xlsx,Sheet1,       Ht(%) ,22,float64,44.1 | 36.0 | 25.3 | 31.3,Haematocrit,percent,feature (APS input),0.0,64,,High
APACHE 4.xlsx,Sheet1,WBC(x1000/mm3) ,23,float64,25000.0 | 17500.0 | 10300.0 | 12800.0,White blood cell count,"MIXED: mostly cells/mm3, 1 row in x1000/mm3",feature (APS input),0.0,69,"BROKEN UNITS: 77 rows 1020-89500 (raw), 1 row 10.2 (thousands). Must be normalised.",High
APACHE 4.xlsx,Sheet1,GCS : E,24,float64,1.0 | 4.0 | 2.0 | 3.0,Glasgow Coma Scale - eye opening,1-4,feature (APS input),0.0,4,,High
APACHE 4.xlsx,Sheet1,V,25,object,T | 5,GCS - verbal response,1-5 or 'T',feature (APS input),0.0,2,"77/78 = 'T' (tubed). Near-constant, almost no information.",High
APACHE 4.xlsx,Sheet1,           M,26,float64,5.0 | 1.0 | 3.0 | 6.0,GCS - motor response,1-6,feature (APS input),0.0,6,Most informative GCS component here.,High
APACHE 4.xlsx,Sheet1,CRF/HD,27,float64,0.0 | 1.0,Chronic renal failure on haemodialysis,binary,feature (chronic health),0.0,2,4/78 positive.,High
APACHE 4.xlsx,Sheet1,pre ICU LOS(days) ,28,float64,1.0 | 2.0 | 0.0,Days in hospital before ICU admission,days,feature (APACHE IV input),0.0,3,0-2 only.,High
APACHE 4.xlsx,Sheet1,      Origin  ,29,str,      Floor |  Other hospital,Admission source,category,feature (APACHE IV input),0.0,2,"77 'Floor', 1 'Other hospital' - near-constant.",High
APACHE 4.xlsx,Sheet1,Emergency Sx,30,float64,1.0 | 0.0,Emergency surgery before ICU,binary,feature,0.0,2,1/78 positive - near-constant.,High
APACHE 4.xlsx,Sheet1,  Cirrhosis,31,float64,0.0 | 1.0,Chronic health: cirrhosis,binary,feature,0.0,2,1/78.,High
APACHE 4.xlsx,Sheet1,Hepatic failure,32,float64,0.0,Chronic health: hepatic failure,binary,feature (DEAD),0.0,1,ALL ZERO - zero variance.,High
APACHE 4.xlsx,Sheet1,Metastatic carcinoma,33,float64,0.0,Chronic health: metastatic cancer,binary,feature (DEAD),0.0,1,ALL ZERO.,High
APACHE 4.xlsx,Sheet1,Lymphoma,34,float64,0.0,Chronic health: lymphoma,binary,feature (DEAD),0.0,1,ALL ZERO.,High
APACHE 4.xlsx,Sheet1,Leukemia/Myeloma,35,float64,0.0,Chronic health: leukaemia/myeloma,binary,feature (DEAD),0.0,1,ALL ZERO.,High
APACHE 4.xlsx,Sheet1,immunosuppression,36,float64,0.0,Chronic health: immunosuppression,binary,feature (DEAD),0.0,1,ALL ZERO.,High
APACHE 4.xlsx,Sheet1,        AIDS,37,float64,0.0,Chronic health: AIDS,binary,feature (DEAD),0.0,1,ALL ZERO.,High
APACHE 4.xlsx,Sheet1,APACHE IV SCORE,38,str,110/286 | 134/286 | 99/286 | 88/286,"APACHE IV severity score, stored as 'score/286'",points out of 286,derived score / pseudo-target,0.0,58,"Parse the numerator. 26-148, median 80.5. = APS + age pts + chronic-health pts.",High
APACHE 4.xlsx,Sheet1,APS SCORE,39,str,110/239 | 129/239 | 88/239 | 76/239,"Acute Physiology Score component, 'score/239'",points out of 239,derived score,0.0,58,Always <= APACHE IV. Gap vs age r=0.91.,High
APACHE 4.xlsx,Sheet1,Estimated mortality rate,40,float64,0.75 | 0.768 | 0.475 | 0.483,Calculator-PREDICTED in-hospital mortality,proportion 0-1,derived model output,0.0,76,NOT an observed outcome. r=0.88 with the score - using it as a target is circular.,High
APACHE 4.xlsx,Sheet1,Estimated length of stay,41,str,    6.5 Days |      5.6 Days |      8.1 Days |      6.2 Days,"Calculator-PREDICTED ICU length of stay, text '6.5 Days'",days (as text),derived model output,0.0,59,NOT observed. Parse the number.,High
APACHE 4.xlsx,Sheet1,Lactate (mmol/L) ,42,float64,6.6 | 1.5 | 1.2 | 1.4,Serum lactate,mmol/L,"feature (extra, not in APACHE IV)",0.0,31,0.5-11.1. Added by the investigators.,High
APACHE 4.xlsx,Sheet1,Base deficit mmol/L,43,float64,11.6 | 2.6 | 6.0 | 1.9,Base deficit / excess,mmol/L,feature (extra),0.0,60,-15.7 to 19.1; negatives are legitimate (base excess).,High
APACHE 4.xlsx,Sheet1,PEEP,44,float64,5.0 | 8.0 | 6.0 | 3.0,Positive end-expiratory pressure,cmH2O,feature (extra),0.0,6,0-15; 0 for the 3 non-ventilated.,High
APACHE 4.xlsx,Sheet1,Vasopressors,45,object,0 | Vasopressin and Noradre | Vasopressin and Norad |  Noradrenaline,"Vasopressor use: 0 = none, else free-text drug names",mixed,feature (extra),0.0,8,MIXED TYPE: 63 zeros + 15 free-text strings with spelling/spacing variants. Binarise.,High
APACHE 4.xlsx,Sheet1,    Diagnosis,46,str," RTA with TBA | CVA with AKI | TBA with resolving sepsis and pneum | CVA with CRHD s/p MVR, AF",Free-text ICU admission diagnosis,text,metadata / feature after coding,0.0,78,"78 unique strings, heavy abbreviation (RTA, TBA, CVA, AKI).",High
APACHE 4.xlsx,Sheet1,   Outcome,47,float64,,Intended: survived/died,-,TARGET (EMPTY),100.0,0,100% EMPTY. This is the single biggest gap in the file.,High
APACHE 4.xlsx,Sheet1,Date of discharge or death,48,datetime64[us],2024-04-10 | 2024-09-10,Intended: discharge/death date,date,TARGET (EMPTY),97.44,2,"2/78 filled, and both look mis-entered (Apr & Sep 2024, before/around admission).",High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Timestamp,0,datetime64[us],2023-06-01 10:01:08.288 | 2023-06-01 10:23:52.778 | 2023-06-01 11:21:05.694 | 2023-06-01 11:25:23.861,Google Form submission time (proxy for triage time),datetime,timestamp,0.45,876,"Jun-2023 to Apr-2025, NOT just 2023. 113 distinct days only.",High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Off hours triage=1,1,float64,0.0 | 1.0,Triage performed outside routine hours,binary,feature / grouping,0.57,2,Only 20/875 positive; inconsistent with the hour-of-day stamps (many after 18:00 coded 0).,Medium
NIMS TRIAGE 2023.xlsx,Form Responses 1,Email Address,2,str,<PII redacted>,Google account of the staff member who triaged,email,grouping variable (rater id),0.45,27,27 raters. USE FOR GROUPED CV. Direct PHI of staff.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Name ,3,str,<PII redacted>,Patient name,text,identifier (direct PHI),0.45,856,,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Age,4,float64,47.0 | 80.0 | 61.0 | 32.0,Patient age,years,feature,0.45,80,4-95.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Sex,5,float64,1.0,"Sex, 1=male",binary,grouping,0.45,1,CONSTANT = 1 in this sheet. This sheet holds only MALE patients.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Trauma=1,6,float64,0.0 | 1.0,Trauma presentation,binary,feature,0.45,2,22% of males vs 11% of females.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GI emerg=1,7,float64,0.0 | 1.0,Gastrointestinal emergency,binary,feature,85.91,2,Only 14% answered - question added/removed mid-study; missingness is not random.,Medium
NIMS TRIAGE 2023.xlsx,Form Responses 1,Complaint/Diagnosis,8,str,"Cva | Sob loc ?hematuria ?melena | Pedal edema,sob ?cardiac failure | Assault with ?knife deep laceration over",Free-text presenting complaint / working diagnosis,text,feature after coding,0.45,659,626 distinct strings for 876 records; abbreviations + '?' uncertainty markers.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,cardiac=1,9,float64,0.0 | 1.0 | 2.0,Cardiac presentation,binary (but a 2 appears),feature,0.45,3,Values 0/1/2 - a 2 is undefined; likely a typo.,Medium
NIMS TRIAGE 2023.xlsx,Form Responses 1,stroke=1,10,float64,1.0 | 0.0,Stroke presentation,binary,feature,71.36,2,Only 29% answered.,Medium
NIMS TRIAGE 2023.xlsx,Form Responses 1,Pulse rate,11,float64,70.0 | 94.0 | 110.0 | 96.0,Heart rate,beats/min,feature,0.11,103,2 zeros = cardiac arrest or missing-as-zero.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,SI,12,object,0 | 1 | 324 si signif,Shock Index flag: 1 if HR/SBP >= 0.9,binary,DERIVED feature,64.66,3,99% reproducible from HR and BP. Redundant + leakage-prone. Only 35% filled.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Unnamed: 13,13,object,<PII redacted>,Blood pressure as 'SBP/DBP' text (header lost),mmHg text,feature (needs parsing),0.45,177,"97.9% parseable; strays: 'NR', '40 systolic', '120/8'.",High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Saturation,14,float64,95.0 | 63.0 | 58.0 | 98.0,Peripheral oxygen saturation SpO2,percent,feature,0.57,39,Impossible values present: 0 and 106.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,"venti=1, O2 =2",15,float64,1.0 | 2.0,"Respiratory support: 1=ventilated, 2=supplemental O2",categorical,feature,97.05,2,Only 3% filled; blank probably means 'room air' but that is an assumption.,Medium
NIMS TRIAGE 2023.xlsx,Form Responses 1,Respiratory Rate,16,float64,19.0 | 20.0 | 18.0 | 17.0,Respiratory rate,breaths/min,feature,0.57,29,Includes 0 and 98 - impossible.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,red=1,17,object,0 | 1 | 505 red,RED (critical) triage designation,binary,TARGET,0.34,3,38.5% positive across the unified register. The main 2023 label.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Additional information,18,object,Smoker | ?cardiac failure | Brought dead kco seizures 2° lt icsol wi | Kc/o DCLD with PHTN with ascites,Free-text notes,text,metadata,97.5,15,97.5% empty.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,PAIN SCORE NRS,19,float64,6.0 | 1.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Airway,20,str,Patent,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,CR Number,21,float64,<PII redacted>,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,4,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Respiratory Rate.1,22,float64,18.0 | 20.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Bilateral Air Entry,23,str,Present,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Saturation.1,24,float64,97.0 | 93.0 | 95.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,3,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Unnamed: 25,25,float64,<PII redacted>,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Other,26,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Intervention,27,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Capillary Refill Time,28,str,<3 seconds,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS  E,29,float64,4.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Intervention.1,30,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Other.1,31,str,Neck veins | Bleed,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,INTERVENTION,32,str,"IV line, IV fluid | IV line",Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS V,33,float64,5.0 | 4.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS M,34,float64,6.0 | 5.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Pupils,35,str,BERTL,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Unnamed: 36,36,float64,<PII redacted>,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Focal Neurological Deficit,37,str,No | Yes,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Temperature in Fahrenheit,38,float64,98.0 | 98.8 | 97.0,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,3,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Log Roll,39,str,No | NO,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,2,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,INTERVENTION.1,40,str,No | NIL | Nil,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,3,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,INTERVENTION.2,41,str,No | NIL | Nil,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.55,3,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS [V],42,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS [M],43,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,GCS [Row 4],44,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Unnamed: 45,45,float64,<PII redacted>,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Breathing,46,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,CR NO,47,float64,<PII redacted>,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Diagnosis,48,str,diarrhoea,Vestigial column from the NEWER ABCDE form schema that leaked into this older sheet,see 2024 file,artifact (near-empty),99.89,1,Filled for only 4-5 of 880 rows (Apr-2025 submissions). Evidence the same Google Form was later rebuilt into the 2024 instrument. Drop from the 2023 analysis.,High
NIMS TRIAGE 2023.xlsx,Form Responses 1,Disposition,49,float64,,"Empty column - a form question that was created but never answered, or a leftover",-,artifact,100.0,0,0 non-null values. Drop.,High
NIMS TRIAGE 2023.xlsx,Sheet3,0,0,datetime64[us],2023-06-01 09:59:00.020 | 2023-06-01 10:04:31.481 | 2023-06-01 10:51:50.015 | 2023-06-01 11:09:38.128,"Timestamp (form submission) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,timestamp,1.14,435,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,1,1,float64,0.0 | 1.0,"Off hours triage=1 - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature / grouping,1.14,2,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,2,2,str,tshrumith@gmail.com | drsmdt99@gmail.com | smdt256@gmail.com | pvsk1998@gmail.com,"Email Address (rater) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,grouping variable (rater id),1.14,26,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,3,3,str,Zareena begum | Manopreethi | Ganta rajani | Ghousaiya begum,"Patient name - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,identifier (direct PHI),1.14,423,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,4,4,float64,37.0 | 23.0 | 26.0 | 51.0,"Age - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,0.45,77,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,5,5,float64,0.0,"Sex, 0=female",binary,grouping,1.14,1,CONSTANT = 0. This sheet holds only FEMALE patients - the other half of the same register.,High
NIMS TRIAGE 2023.xlsx,Sheet3,6,6,float64,0.0 | 1.0,"Trauma=1 - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,1.14,2,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,7,7,str,"Tachypnea | Left renal calculi | Left upper limb pain,sob | Rt lower limb injury","Complaint/Diagnosis (free text) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature after coding,1.14,371,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,8,8,float64,,"cardiac=1 (never answered here) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature (DEAD),100.0,0,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,Medium
NIMS TRIAGE 2023.xlsx,Sheet3,9,9,float64,105.0 | 74.0 | 78.0 | 86.0,"Pulse rate - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,0.45,92,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,10,10,float64,0.0 | 1.0,"SI (shock-index flag) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,DERIVED feature,65.45,2,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,11,11,object,140/70 | 120/80 | 150/100 | 110/80,"Blood Pressure ""SBP/DBP"" - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature (needs parsing),1.14,113,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,12,12,float64,100.0 | 95.0 | 99.0 | 94.0,"Saturation (SpO2) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,1.14,33,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,13,13,float64,500.0 | 1.0 | 2.0,"venti=1 / O2=2 - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,97.27,3,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,Medium
NIMS TRIAGE 2023.xlsx,Sheet3,14,14,float64,24.0 | 18.0 | 17.0 | 20.0,"Respiratory Rate - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,feature,1.14,20,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
